TreatmentDate,WellName,TreatmentType,API
6/6/2024,DEVORE 2,CB,302700627
6/6/2024,MCKEAN B-14,CB,302711645
6/16/2024,FEE K-2,CB,302711610
6/19/2024,MSPU 2-K INJ (SMACKOVER),CB,302700877
6/22/2024,SMART  C 2 (TRAVIS PEAK),CB,302710125
6/22/2024,SMART  D 3 (TRAVIS PEAK),CB,302700211
7/3/2024,DEVORE 2,CB,302700627
7/3/2024,MCKEAN B-14,CB,302711645
7/3/2024,MSPU 2-K INJ (SMACKOVER),CB,302700877
7/3/2024,PAUL MOSS 142 (G),CB,4213580391
7/4/2024,PAUL MOSS 22 (G),CB,4213580262
7/4/2024,PAUL MOSS 192 (C),CB,4213533866
7/9/2024,PAUL MOSS 31 (G),CB,4213502040
7/12/2024,MSPU 4-L (SMACKOVER),CB/BC,302700925
7/17/2024,MSPU 7-Q (SMACKOVER),CB+(B)+BC,302700942
7/18/2024,MARLER PATENTED 1 (DAKOTA),CB+(B),
7/19/2024,BECKEDAHL C 2 (MADISON),CB,3307501211
7/19/2024,BECKEDAHL C 2 (MADISON),CB,3307501211
7/19/2024,BECKEDAHL C 1 (MADISON),CB,3307500118
7/23/2024,MEYER 1-15 (LODGEPOLE),CB,3308900551
7/23/2024,R G 1-10 (LODGEPOLE),CB,3308900466
7/26/2024,CRUSCH 1-3X,CB,2508521662
7/26/2024,PREVOST 1 (RED RIVER),CB,2508321853
7/27/2024,BFU TR 9-6 2 (CRONE 1),CB,302700605
8/1/2024,MCKEAN B-12,CB,302701485
8/1/2024,PAUL CARLSON 2-27,CB,3307501086
8/1/2024,EPEX WEBER 28-16 (MADISON),CB,3307501157
8/2/2024,CRONE A-10,CB,302710494
8/5/2024,DEVORE 2,CB/BC,302700627
8/5/2024,FEE K-2,CB/BC,302711610
8/5/2024,MCKEAN B-14,CB/BC,302711645
8/7/2024,NORTH CENTRAL TEXAS 3 (TRAVIS PEAK),CB/BC,302700205
8/7/2024,SMART  C 2 (TRAVIS PEAK),CB/BC,302710125
8/7/2024,SMART  D 3 (TRAVIS PEAK),CB/BC,302700211
8/11/2024,MCKEAN B-13,CB,302710439
8/11/2024,MCKEAN C-2,CB,307301540
8/12/2024,RAY BRADLEY 1,CB,302710737
8/15/2024,BFU TR 10-2 1 (NUNN A-1),CB,302711405
8/15/2024,WEBB ANDERSON  1 (TENSLEEP),CB+(B),
8/15/2024,BIG POLECAT 1 (aka Federal W-061100),CB+(B),
8/15/2024,SAGE UNIT C-067759 10 (TENSLEEP),CB+(B),
8/19/2024,MILES 1-8 (MORROW),CB,3500720671
8/20/2024,PAUL MOSS 121  (G),CB,4213530744
8/20/2024,PAUL MOSS 131 (G),CB,4213580374
8/20/2024,PAUL MOSS 142 (G),CB/BC,4213580391
8/20/2024,PAUL MOSS 19 (G),CB,4213502086
8/20/2024,PAUL MOSS 20 (G),CB,4213502036
8/20/2024,PAUL MOSS 22 (G),CB/BC,4213580262
8/20/2024,PAUL MOSS 30 (G),CB,4213580270
8/20/2024,PAUL MOSS 6 (G),CB,4213580251
8/20/2024,PAUL MOSS 192 (C),CB/BC,4213533866
8/21/2024,ELLIOTT 31 FED 05 (DEVONIAN),CB+(B),3002524096
8/21/2024,NEW MEXICO 4 (SAN ANDRES),CB+(B),3002523187
8/21/2024,JONES EST 30 1 (CLEARFORK),CB+(B),4216531866
8/21/2024,JONES E H EST 11 (CLEARFORK),CB+(B),4216501378
8/21/2024,JONES EST 497 (CLEARFORK),CB+(B),4216532458
8/21/2024,JONES EST 498 (CLEARFORK),CB+(B),4216532166
8/21/2024,PARKER 01 (ClearFork),CB+(B),4200337367
8/22/2024,MSPU 7-Q (SMACKOVER),CB,302700942
8/22/2024,DONALD PETERSON 1-27 (MADISON),CB,3307501081
8/22/2024,DONALD PETERSON 1-27 (MADISON),CB,3307501081
8/22/2024,EPEX WEBER 28-16 (MADISON),CB,3307501157
8/22/2024,MCCOY 1 (CHESTER),CB,3500724261
8/22/2024,WILCOX 1-9 (fka Martin B 2),CB,3509324376
8/22/2024,MARTIN B 1 (CHESTER),CB,3509335417
8/22/2024,KRAMER 1-18 (HUNTON),CB,3507322808
8/22/2024,PAUL MOSS 31 (G),,4213502040
8/23/2024,PREVOST 1 (RED RIVER),CB,2508321853
8/23/2024,DONALD PETERSON 2-28 (MADISON),CB,3307501078
8/23/2024,DONALD PETERSON 2-28 (MADISON),CB,3307501078
8/23/2024,PAUL CARLSON 2-27,CB,3307501086
8/23/2024,PAUL CARLSON 2-27,CB,3307501086
8/23/2024,EPEX PETERSON 28-6 (MADISON),CB,3307501127
8/23/2024,BEAVER VALLEY RANCH 34-21H (BAKKEN),CB,3305302310
8/23/2024,MILES 2-8 (TORONTO),CB,3500723189
8/23/2024,JONES 1-15 (MORROW),CB,3500722171
8/23/2024,BELLAMY 2-23 (TONKAWA),CB,3500721504
8/24/2024,MSPU 5-R (SMACKOVER),CB,302700809
8/24/2024,FRY ETHEL 2 (MORROW-CHESTER),CB,3500721887
8/24/2024,BELLAMY 1-23 (TONKAWA),CB,3500735600
8/26/2024,TVEIT 23-1 (RED RIVER),CB,2508321898
8/29/2024,FORTUNE 500 01 (C),CB/BC,4213536522
9/6/2024,DEVORE 2,CB,302700627
9/6/2024,MCKEAN B-14,CB,302711645
9/6/2024,MARLER PATENTED 1 (DAKOTA),CB+(B),
9/7/2024,CRONE A-10,CB/BC,302710494
9/7/2024,NORTH CENTRAL TEXAS 3 (TRAVIS PEAK),CB,302700205
9/7/2024,SMART  C 2 (TRAVIS PEAK),CB,302710125
9/7/2024,SMART  D 3 (TRAVIS PEAK),CB,302700211
9/8/2024,MCKEAN B-13,CB/BC,302710439
9/8/2024,MCKEAN C-2,CB/BC,307301540
9/8/2024,RAY BRADLEY 1,CB/BC,302710737
9/9/2024,WEBB ANDERSON  1 (TENSLEEP),CB+(B),
9/9/2024,BIG POLECAT 1 (aka Federal W-061100),CB+(B),
9/9/2024,FEDERAL W-019080   1 (TENSLEEP),CB+(B),
9/9/2024,SAGE UNIT C-067759 10 (TENSLEEP),CB+(B),
9/10/2024,FED MCCRARY 069688  1 (TENSLEEP),CB+(B),
9/10/2024,FARMER FEE 11-11A (TENSLEEP),CB+(B),
9/10/2024,SAGE UNIT PATENT  9 (TENSLEEP),CB+(B),
9/11/2024,BEAN BLOSSOM A 1-19 (TYLER LOWER),CB,2503321111
9/12/2024,MSPU 3-J-1 (SMACKOVER),CB+(B)+BC,302711042
9/12/2024,MSPU 3-K (SMACKOVER),CB+(B)+BC,302700878
9/12/2024,MSPU 3-L-1 (SMACKOVER),CB+(B)+BC,302710953
9/12/2024,MSPU 3-M-1 (SMACKOVER),CB+(B)+BC,302711078
9/12/2024,MSPU 4-H (SMACKOVER),CB+(B)+BC,302700913
9/12/2024,MSPU 4-J-1 (SMACKOVER),CB+(B)+BC,302711089
9/12/2024,MSPU 4-N-2 (SMACKOVER),CB+(B)+BC,302711013
9/12/2024,MSPU 4-N-3 (SMACKOVER),CB+(B)+BC,302711041
9/13/2024,CRONE B-8,CB/BC,302711720
9/13/2024,FEE K-2,CB/BC,302711610
9/13/2024,MCKEAN B-12,CB/BC,302701485
9/13/2024,MSPU 4-O (SMACKOVER),CB+(B)+BC,302701092
9/13/2024,MSPU 4-O-1 (SMACKOVER),CB+(B)+BC,302710956
9/13/2024,MSPU 4-P (SMACKOVER),CB+(B)+BC,302700945
9/13/2024,MSPU 4-Q-2 (SMACKOVER),CB+(B)+BC,302711191
9/13/2024,MSPU 5-M (SMACKOVER),CB+(B)+BC,302700935
9/13/2024,MSPU 5-P (SMACKOVER),CB+(B)+BC,302700949
9/13/2024,MSPU 5-P-3 (SMACKOVER),CB+(B)+BC,302710988
9/13/2024,MSPU 5-S-2 (SMACKOVER),CB+(B)+BC,302711028
9/13/2024,KIEHL 1 (MINNELUSA),CB+(B),
9/13/2024,KIEHL 3 (MINNELUSA),CB+(B),
9/13/2024,KIEHL 5 (MINNELUSA),CB+(B),
9/13/2024,KIEHL 7 (MINNELUSA),CB+(B),
9/13/2024,KIEHL 9 (MINNELUSA),CB+(B),
9/14/2024,BFU TR 10-2 1 (NUNN A-1),CB/BC,302711405
9/15/2024,FORTUNE 500 01 (C),CB+(B),4213536522
9/15/2024,PAUL MOSS 121  (G),CB+(B),4213530744
9/15/2024,PAUL MOSS 19 (G),CB+(B),4213502086
9/15/2024,PAUL MOSS 20 (G),CB+(B),4213502036
9/15/2024,PAUL MOSS 22 (G),CB+(B),4213580262
9/15/2024,PAUL MOSS 6 (G),CB+(B),4213580251
9/15/2024,PAUL MOSS 192 (C),CB+(B),4213533866
9/16/2024,GOVERNMENT 23-9 (PHOSPHORIA),CB+(B),
9/17/2024,HONDL 15-1 (LODGEPOLE),CB+1/4BC,3308900436
9/17/2024,MEYER 1-15 (LODGEPOLE),CB+1/4BC,3308900551
9/17/2024,R G 1-10 (LODGEPOLE),CB+1/4BC,3308900466
9/18/2024,DAVIS CREEK 1- 7H (MADISON),CB+1/4BC,3300701463
9/18/2024,DAVIS CREEK 1-19H (MADISON),CB+1/4BC,3300701464
9/18/2024,DAVIS CREEK 1-13H (TYLER),CB+1/4BC,3300701453
9/18/2024,US 1-28,CB+1/4BC,3300700474
9/18/2024,FEDERAL FRANKS 33-2 (MADISON),CB+1/4BC,3300700519
9/18/2024,PAUL MOSS 30 (G),CB+(B),4213580270
9/18/2024,PAUL MOSS 31 (G),CB,4213502040
9/18/2024,PAUL MOSS 108 (C),CB,4213530333
9/21/2024,TVEIT 23-1 (RED RIVER),CB,2508321898
9/23/2024,CRUSCH 1-3X,CB,2508521662
9/23/2024,CRUSCH 24-3 (RED RIVER),CB,2508521608
9/24/2024,ELLIOTT 31 FED 05 (DEVONIAN),CB/BC,3002524096
9/24/2024,NEW MEXICO 4 (SAN ANDRES),CB/BC,3002523187
9/24/2024,JONES EST 30 1 (CLEARFORK),CB/BC,4216531866
