WELLNAME,LATITUDE,LONGITUDE
BFU TR 10-2 1 (NUNN A-1),33.359225,-93.374092
BFU TR 16-2 1 (JOHNSON ES A-1),33.357745,-93.382462
BFU TR 9-6 2 (CRONE 1),33.360355,-93.385792
BFU TR 9-8 1 (N JOHNSON B-1),33.360285,-93.377142
BUCKNER C-1 (FKA BFU 16-4 1),33.358055,-93.388702
BUCKNER D-1 SWD,33.364185,-93.407023
BUCKNER D-6 SWD,33.359265,-93.373812
CRONE #5,33.359415,-93.384462
CRONE A-10,33.359365,-93.402313
CRONE A-8,33.361375,-93.402353
CRONE B-8,33.359805,-93.393193
CRONE C-7,33.360795,-93.398113
DEAN 1 SWD,33.356475,-93.372852
DEVORE 2,33.356855,-93.385202
FEE K-1,33.357345,-93.406803
FEE K-2,33.358305,-93.405253
JOHNSON ES B-1 (FKA BFU 16-1 1),33.357795,-93.378342
JOHNSON HEIRS 1,33.357155,-93.394453
JOHNSON NIX 2,33.356915,-93.381532
JOHNSON NIX HEIRS 1,33.357085,-93.377212
MCKEAN B-1,33.360755,-93.407003
MCKEAN B-10,33.360755,-93.407003
MCKEAN B-12,33.359805,-93.407793
MCKEAN B-13,33.363785,-93.408013
MCKEAN B-14,33.359635,-93.405623
MCKEAN B-7,33.360755,-93.407003
MCKEAN C-8,33.360875,-93.415513
SH DEVORE 3,33.35752,-93.384452
ST CRONE #2 SWD,33.363995,-93.385582
ST CRONE #3,33.361575,-93.385472
WARREN C-3,33.357515,-93.411093
WARREN C-4,33.358375,-93.410093
WATERS B-1,33.360935,-93.411023
WATERS B-3,33.360985,-93.410883
WILSON K-1,33.357275,-93.402453
WILSON K-2,33.358065,-93.403683
BUCKNER D-2 SWD,33.357345,-93.415493
BUCKNER D-5 SWD,33.364595,-93.415463
MCKEAN C-2,33.361125,-93.415483
HARRISON 1,33.02929,-93.440747
A.S. CRISP 2 (COTTON VALLEY),33.249699,-93.146926
MSPU 2-K INJ (SMACKOVER),33.256788,-93.149796
MSPU 3-E INJ (SMACKOVER),33.253828,-93.175446
MSPU 3-F INJ (SMACKOVER),33.253749,-93.171106
MSPU 3-H (SMACKOVER),33.253279,-93.162756
MSPU 3-J (SMACKOVER),33.253211,-93.154216
MSPU 3-J-1 (SMACKOVER),33.253157,-93.155856
MSPU 3-K-1 (SMACKOVER),33.252961,-93.151546
MSPU 3-L-1 (SMACKOVER),33.252018,-93.147546
MSPU 3-M-1 (SMACKOVER),33.251851,-93.139386
MSPU 3-N (SMACKOVER),33.253045,-93.137026
MSPU 3-O (SMACKOVER),33.252769,-93.132556
MSPU 4-F (SMACKOVER),33.250157,-93.171466
MSPU 4-H-1 (SMACKOVER),33.250907,-93.161216
MSPU 4-I (SMACKOVER),33.249799,-93.158716
MSPU 4-I-1 (SMACKOVER),33.250559,-93.157366
MSPU 4-J (SMACKOVER),33.249601,-93.154216
MSPU 4-J-1 (SMACKOVER),33.248962,-93.156386
MSPU 4-K-1 (SMACKOVER),33.251269,-93.151726
MSPU 4-K-2 (SMACKOVER),33.248157,-93.148026
MSPU 4-K-3 (SMACKOVER),33.249046,-93.151136
MSPU 4-L (SMACKOVER),33.249407,-93.145686
MSPU 4-M (SMACKOVER),33.249323,-93.141416
MSPU 4-N (SMACKOVER),33.249099,-93.136976
MSPU 4-N-2 (SMACKOVER),33.249685,-93.139166
MSPU 4-N-3 (SMACKOVER),33.249879,-93.135076
MSPU 4-O (SMACKOVER),33.249101,-93.132886
MSPU 4-O-1 (SMACKOVER),33.247712,-93.134636
MSPU 4-O-2 (SMACKOVER),33.249268,-93.131186
MSPU 4-P (SMACKOVER),33.249073,-93.128936
MSPU 4-P-2 (SMACKOVER),33.247685,-93.130386
MSPU 4-P-3 (SMACKOVER),33.249518,-93.126936
MSPU 4-P-4 (SMACKOVER),33.247949,-93.128066
MSPU 4-Q (SMACKOVER),33.248935,-93.124326
MSPU 4-Q-1 (SMACKOVER),33.249962,-93.122826
MSPU 4-Q-2 (SMACKOVER),33.248073,-93.124276
MSPU 4-R-1 (SMACKOVER),33.247518,-93.121636
MSPU 4-S-1 (SMACKOVER),33.247462,-93.118166
MSPU 4-W-I (SMACKOVER),33.248779,-93.099325
MSPU 5-E INJ (SMACKOVER),33.246669,-93.175756
MSPU 5-G INJ (SMACKOVER),33.246469,-93.167286
MSPU 5-H INJ (SMACKOVER),33.246049,-93.163056
MSPU 5-M (SMACKOVER),33.245657,-93.141636
MSPU 5-O-1 (SMACKOVER),33.244219,-93.134726
MSPU 5-P (SMACKOVER),33.245462,-93.128716
MSPU 5-P-1 (SMACKOVER),33.244212,-93.126966
MSPU 5-P-2 (SMACKOVER),33.246796,-93.127216
MSPU 5-P-3 (SMACKOVER),33.244319,-93.130216
MSPU 5-Q (SMACKOVER),33.245309,-93.13274
MSPU 5-Q-1 (SMACKOVER),33.243879,-93.122496
MSPU 5-R (SMACKOVER),33.245212,-93.120136
MSPU 5-S-1 (SMACKOVER),33.243869,-93.118576
MSPU 5-S-2 (SMACKOVER),33.246435,-93.114576
MSPU 6-L (SMACKOVER),33.242129,-93.145746
MSPU 6-M INJ (SMACKOVER),33.242069,-93.141746
MSPU 6-Q (SMACKOVER),33.24174,-93.124546
MSPU 7-R INJ (SMACKOVER),33.238459,-93.120735
MSPU 7-S INJ (SMACKOVER),33.238249,-93.116585
MSPU 8-G-D INJ (SMACKOVER),33.236839,-93.168866
MSPU 3-I-1 (SMACKOVER),33.253248,-93.158726
MSPU 3-O-1 (SMACKOVER),33.251796,-93.133526
MSPU 3-P (SMACKOVER),33.252749,-93.128526
MSPU 4-E (SMACKOVER),33.25024,-93.175856
MSPU 4-N-1 ( SMACKOVER),33.248212,-93.138776
MSPU 4-P-1 (SMACKOVER),33.249018,-93.128666
MSPU 6-I (SMACKOVER),33.242546,-93.158996
MSPU 3-M (SMACKOVER),33.252851,-93.141166
MSPU 4-H (SMACKOVER),33.249907,-93.162916
MSPU 4-S (SMACKOVER),33.248829,-93.116975
MSPU 5-O (SMACKOVER),33.245529,-93.132866
MSPU 7-Q (SMACKOVER),33.238789,-93.125046
BROOKS 1-5,33.028366,-93.406492
BROOKS 2-5,33.028566,-93.416482
BROOKS 3-5,33.028716,-93.419982
PLACID 1-4,33.033116,-93.396141
PLACID 2-4,33.028636,-93.401371
PLACID 3-4,33.033206,-93.396941
RUSSELL 1-6,33.029116,-93.433732
TAYLOR 1-6,33.028715,-93.423822
TAYLOR 2,33.028906,-93.428102
VAUGHN 1-3,33.027406,-93.373021
VAUGHN 2-3,33.027526,-93.377111
VAUGHN 3-3,33.027666,-93.376001
VAUGHN 4,33.028486,-93.376991
NORTH CENTRAL TEXAS 3 (TRAVIS PEAK),33.429921,-93.120167
SMART  C 2 (TRAVIS PEAK),33.445031,-93.126467
SMART  C 3 (TRAVIS PEAK),33.43935,-93.118042
SMART  C 4 (TRAVIS PEAK),33.439691,-93.120347
SMART  D 2 (TRAVIS PEAK),33.435841,-93.123867
SMART  D 3 (TRAVIS PEAK),33.437557,-93.122414
SMART D 4 SWD,33.435943,-93.122284
NATIONS 1,33.039365,-93.401901
MSPU 3-K (SMACKOVER),33.253338,-93.149576
MSPU 4-K (SMACKOVER),33.249907,-93.150026
MSPU 5-S (SMACKOVER),33.245329,-93.116395
MSPU 5-U (SMACKOVER),33.245329,-93.107575
SMART  C 1 (TRAVIS PEAK),33.441521,-93.121067
MSPU 4-G (SMACKOVER),33.250129,-93.167216
RAY BRADLEY 1,33.034878,-93.101014
CONTINENTAL CAN CO 27-1,32.259595,-92.769537
DAVIS BROTHERS 35-1,32.324809,-92.743851
TOWNSEND #1,32.463706,-92.574704
KNIGHT M ETAL 2 ALT (HBY A RD SUA),30.242663,-91.676221
MARTIN J J ETAL 1-A (HBY A RD SUA),30.242936,-91.67556
VOORHIES R 1-D (HBY A RD SUA),30.237201,-91.682833
GENERAL MOTORS 1-2 (NIAGARAN),42.593208,-83.700444
GENERAL MOTORS 2-2 HD1 (NIAGARAN),42.599813,-83.700691
MULLER 1-15 (NIAGARAN BROWN),42.572098,-83.731993
GINGRICH 1-31A (PRAIRIE DU CHIEN),43.911996,-85.558122
JEWETT 1-32 (PRAIRIE DU CHIEN),43.90451,-85.539268
BLACKHAWK 1-16 HD1 (NIAGARAN BROWN),45.32938,-84.06464
STATE ALLIS 1-25B HD1 HD2 HD3 (NIAGARAN),45.30455,-84.1382
STATE ALLIS 2-25 HD1 HD2 (NIAGARAN),45.309729,-84.131542
SZYMONIAK 2-21 HD1 & HD2 (NIAGARAN),45.315329,-84.072335
TENNANT & STATE ALLIS 2-24 (NIAGARAN),45.313027,-84.131799
