WellName,JobName,StartDate,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2006.01.27) Perforating,1/27/2006,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2008.01.02) Pump Change,1/2/2008,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2012.11.30) Tubing Repair,11/30/2012,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2007.04.06) Reconfigure Tubing/Components,4/6/2007,,,,,
A.S. CRISP 2 (COTTON VALLEY),(1994.12.06) Equipment Maintenance,12/6/1994,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2004.09.07) Wireline,9/7/2004,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2007.01.30) Wax Removal,1/30/2007,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2004.11.24) Perforating,11/24/2004,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2007.01.02) Equipment Maintenance,1/2/2007,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2007.01.24) Equipment Maintenance,1/24/2007,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2004.12.20) Swabbing,12/20/2004,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2010.12.08) Pump Change,12/8/2010,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2011.01.12) Tubing Repair,1/12/2011,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2014.06.19) Pump Change,6/19/2014,,,,,
A.S. CRISP 2 (COTTON VALLEY),(2006.03.23) Pump Repair,3/23/2006,,,,,
A.S. CRISP 2 (COTTON VALLEY),18.05.01 - AS Crisp #2 - Polished Rod,5/1/2018,,,,,
ALTUS GOV 23-3 (PHOSPHORIA),(2010.03.26) Mechanical Integrity Test,3/26/2010,,,,,
ALTUS GOV 23-3 (PHOSPHORIA),20.12.10 - ALTUS GOVERNMENT 23-3 - MIT,12/10/2020,,,,,
ALTUS GOV 23-3 (PHOSPHORIA),21.04.21 -  Altus Government 23-3 - SWD Conversion,4/16/2021,,,,,
ALTUS GOV 23-3 (PHOSPHORIA),22.09.07 - Altus Government 23-3- Reactivation,9/7/2022,,,,,
ALTUS GOV 23-3 (PHOSPHORIA),22.11.02 - Altus Gov 23-3 - Test Pump,11/1/2022,,,,,
ALTUS GOV 23-3 (PHOSPHORIA),23.05.23 - Altus Gov 23-3 - Free Tbg Plug,5/23/2023,,,,,
ANDERSON COMM  1 (TENSLEEP),15.09.25 - Anderson Community 1 - Rod Part,9/25/2015,,,,,
ANDERSON COMM  1 (TENSLEEP),(1965.07.09) Fracture Treatment,7/9/1965,,,,,
ANDERSON COMM  1 (TENSLEEP),18.06.27 -  Anderson-Comm 1 - Replace PU,6/27/2018,,,,,
ANDERSON COMM  1 (TENSLEEP),20.02.17 - Anderson Comm 1 - HIT,2/17/2020,,,,,
ANDERSON COMM  1 (TENSLEEP),22.10.03- Anderson Comm 1 - Rod Part,10/3/2022,,,,,
ANDERSON COMM  1 (TENSLEEP),22.12.24 - Anderson Comm 1 - Rod Part,12/28/2022,,,,,
ANDERSON COMM  1 (TENSLEEP),23.10.06- Anderson Comm 1 - Pump Change,10/2/2023,,,,,
ANDERSON COMM  1 (TENSLEEP),23.11.29 - Anderson Comm 1 - Rod Part,11/29/2023,,,,,
BARBY 1-36 (CHESTER),(2008.07.30) Property/Location Maintenance,7/30/2008,,,,,
BARBY 1-36 (CHESTER),(2005.05.26) Equipment Maintenance,5/26/2005,,,,,
BARBY 1-36 (CHESTER),(2010.02.22) Plunger Lift System Repair,2/22/2010,,,,,
BARBY 1-36 (CHESTER),(2011.11.10) Plunger Lift System Repair,11/10/2011,,,,,
BARBY 1-36 (CHESTER),(2012.10.01) Plunger Lift System Repair,10/1/2012,,,,,
BARBY 1-36 (CHESTER),(2006.04.19) Testing,4/19/2006,,,,,
BARBY 1-36 (CHESTER),(2005.06.02) Equipment Maintenance,6/2/2005,,,,,
BARBY 1-36 (CHESTER),21.12.02. - Barby 1-36 - Morrow Completion,12/2/2021,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),14.02.26-BEAN BLOSSOM A1-19-Tubing Repair,2/26/2014,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(1988.07.01) Acid Treatment,7/1/1988,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),15.03.13 - Bean Blossom A1-19 - Tubing Repair,3/13/2015,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2004.05.12) Tubing Repair,5/12/2004,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2008.02.14) Rod Repair,2/14/2008,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(1986.08.01) Acid Treatment,8/1/1986,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2008.09.03) Tubing Repair,9/3/2008,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2009.01.28) Tubing Repair,1/28/2009,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2013.10.01) Tubing Repair,10/1/2013,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2012.04.18) Tubing Repair,4/18/2012,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2012.08.23) Tubing Repair,8/23/2012,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2013.02.05) Tubing Repair,2/5/2013,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2010.08.05) Tubing Repair,8/5/2010,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),(2007.07.25) Pump Change,7/25/2007,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),16.11.02-BEAN BLOSSOM A1-19-Tubing Repair,11/2/2016,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),19.01.07 - Bean Blossom A1-19 - HIT,1/7/2019,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),20.07.28 - Bean Blossom A1-19 - HIT,7/28/2020,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),21.01.22 - Bean Blossom A1-19 - Pump Change,1/22/2021,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),21.03.22 - Bean Blossom A1-19 - RP,4/5/2021,,,,,
BEAN BLOSSOM A 1-19 (TYLER LOWER),22.01.05 - Bean Blossom A 1-19 - HIT,1/5/2022,,,,,
